Parasite.species,Chain.length,Host.habitat,Min.lat,Avg.lat,Max.lat,Min.long,Avg.long,Max.long,parasiteKingdom,parasitePhylum,parasiteClass,parasiteOrder,parasiteFamily,parasiteGenus
Rhabdochona phoxini,2,freshwater,54.5259614,54.5259614,54.5259614,15.2551187,15.2551187,15.2551187,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabdochonidae,Rhabdochona
Rictularia cristata,2,terrestrial,28.394857,45.27882994,54.5259614,15.2551187,74.75008724,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Rictulariidae,Rictularia
Rictularia proni,2,terrestrial,14.058324,38.856133962499996,53.709807,-4.7277528,24.5652274375,108.277199,Animalia,Nematoda,Chromadorea,Rhabditida,Rictulariidae,Rictularia
Rodentolepis asymmetrica,2,terrestrial,37.5442706,47.2062133,54.5259614,-4.7277528,11.466664100000001,31.1655799,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Rodentolepis
Rodentolepis microstoma,2,terrestrial,37.5442706,45.37389898,54.5259614,-4.7277528,16.69620814,74.766098,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Rodentolepis
Rodentolepis straminea,2,terrestrial,14.058324,45.29829725882353,61.52401,-4.7277528,39.90874745294118,108.277199,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Rodentolepis
Ryjikovilepis dubininae,2,freshwater,48.379433,48.379433,48.379433,31.1655799,31.1655799,31.1655799,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Schistotaeniidae,Ryjikovilepis
Salvelinema salmonicola,2,freshwater,36.204824,50.48516743333333,61.52401,-127.6476205,38.64135316666667,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Salvelinema
Salvelinema walkeri,2,freshwater,53.7266683,53.7266683,53.7266683,-127.6476205,-127.6476205,-127.6476205,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Salvelinema
Schistocephalus pungitii,3,freshwater,39.370134,53.845050314285714,63.15587019999999,-77.40677199999999,8.022557557142857,105.318756,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus
Schistocephalus solidus,3,freshwater,36.204824,52.853506603999996,64.963051,-149.4936733,-28.56723958,138.252924,Animalia,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus
Schistotaenia colymba,2,freshwater,53.9332706,53.9332706,53.9332706,-116.5765035,-116.5765035,-116.5765035,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Schistotaeniidae,Schistotaenia
Schistotaenia srivastavai,2,freshwater,53.9332706,53.9332706,53.9332706,-116.5765035,-116.5765035,-116.5765035,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Schistotaeniidae,Schistotaenia
Schistotaenia tenuicirrus,2,freshwater,53.9332706,53.9332706,53.9332706,-116.5765035,-116.5765035,-116.5765035,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Schistotaeniidae,Schistotaenia
Schizorchis altaica,2,terrestrial,53.5587003,53.5587003,53.5587003,108.1649965,108.1649965,108.1649965,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Schizorchis
Serpinema trispinosum,3,freshwater,12.7690126,23.09085546,35.20105,-102.552784,-91.43130868,-85.207229,Animalia,Nematoda,Chromadorea,Rhabditida,Camallanidae,Serpinema
Serratospiculum tendo,2,terrestrial,33.886917,38.41984308,41.87194,-1.2121322,46.08435276,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Diplotriaenidae,Serratospiculum
Seuratum cadarachense,2,terrestrial,33.886917,36.92998783333333,39.3587759,-4.7277528,2.5151263333333334,9.537499,Animalia,Nematoda,Chromadorea,Rhabditida,Seuratidae,Seuratum
Sicarius dipterum,2,terrestrial,33.886917,36.764073866666664,38.861034,-4.7277528,25.3619464,71.276093,Animalia,Nematoda,Chromadorea,Rhabditida,Habronematidae,Sicarius
Simondsia paradoxa,3,terrestrial,14.058324,36.579879257142856,54.236107,-4.7277528,28.82791597142857,108.277199,Animalia,Nematoda,Chromadorea,Rhabditida,Spirocercidae,Simondsia
Skrjabinema ovis,1,terrestrial,-38.416097,32.04078326875,60.47202399999999,-106.346771,19.534771468749998,108.1649965,Animalia,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Skrjabinema
Skrjabingylus chitwoodorum,3,terrestrial,36.778261,46.4543135,56.130366,-119.4179324,-112.8823517,-106.346771,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Skrjabingylus
Skrjabingylus nasicola,3,terrestrial,36.204824,49.22096013,61.92410999999999,-106.346771,9.64499363,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Skrjabingylus
Skrjabinocerca prima,2,terrestrial,51.253775,55.57035186666666,61.52401,-116.5765035,-32.193653833333336,105.318756,Animalia,Nematoda,Chromadorea,Rhabditida,Acuariidae,Skrjabinocerca
Skrjabinoclava inornatae,2,marine,-9.189967,39.95666791,56.130366,-119.4179324,-95.22873333,-63.744311,Animalia,Nematoda,Chromadorea,Rhabditida,Acuariidae,Skrjabinoclava
Skrjabinoclava morrisoni,2,marine,39.0457549,50.20891634444445,56.130366,-116.5765035,-92.65891268888889,-63.744311,Animalia,Nematoda,Chromadorea,Rhabditida,Acuariidae,Skrjabinoclava
Skrjabinoptera phrynosoma,2,terrestrial,18.53,31.93778181,44.0682019,-119.4179324,-100.40394059,-72.33,Animalia,Nematoda,Chromadorea,Rhabditida,Physalopteridae,Skrjabinoptera
Sobolevicanthus gracilis,3,freshwater,27.6648274,45.99068546363637,56.130366,-106.346771,5.936480054545454,138.252924,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Sobolevicanthus
Sobolevicanthus krabbeella,2,freshwater,47.3682887,50.5505939,56.26392,8.5374552,28.32097473333333,66.923684,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Sobolevicanthus
Sobolevicanthus octacantha,3,freshwater,-6.2649292,31.176390700000002,56.130366,-106.346771,1.4034347999999977,66.923684,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Sobolevicanthus
Soboliphyme baturini,3,terrestrial,36.204824,48.252530125,64.2008413,-149.4936733,5.070744000000001,138.252924,Animalia,Nematoda,Enoplea,Dioctophymatida,Soboliphymatidae,Soboliphyme
Soboliphyme soricis,2,terrestrial,46.227638,46.227638,46.227638,2.213749,2.213749,2.213749,Animalia,Nematoda,Enoplea,Dioctophymatida,Soboliphymatidae,Soboliphyme
Southwellina hispida,3,marine,19.8967662,29.2437631,41.87194,-155.5827818,-85.47712471666667,12.56738,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Southwellina
Spathebothrium simplex,2,marine,-14.5994134,32.063638899999994,54.5259614,-28.6731465,68.897999125,149.3658173,Animalia,Platyhelminthes,Cestoda,Spathebothriidea,Spathebothriidae,Spathebothrium
Sphaerirostris picae,3,terrestrial,48.379433,48.379433,48.379433,31.1655799,31.1655799,31.1655799,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Centrorhynchidae,Sphaerirostris
Spinitectus carolini,3,freshwater,18.220833,39.768075933333336,53.569001,-113.571487,-86.352633175,-66.590149,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Spinitectus
Spinitectus gracilis,3,freshwater,35.5174913,45.448904285714285,56.130366,-113.571487,-90.56474659999999,-77.82706689999999,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Spinitectus
Spinitectus inermis,2,freshwater,37.5442706,48.76877966666667,54.5259614,-4.7277528,1.9931033000000002,15.2551187,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Spinitectus
Spinitectus micracanthus,2,freshwater,40.2671941,40.2671941,40.2671941,-86.1349019,-86.1349019,-86.1349019,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Spinitectus
Spinitectus ranae,2,freshwater,14.058324,14.058324,14.058324,108.277199,108.277199,108.277199,Animalia,Nematoda,Chromadorea,Rhabditida,Cystidicolidae,Spinitectus
