Foodweb,Full_name,Source_Brose,Source_Gilbert,Source_EcoBase,Source_GlobalWeb,Citation,Notes,Habitat,Latitude,Longitude,AbsLat,Nodes,Links,Link_Density,Generality,Norm_Gen,Vulnerability,Norm_Vul,Fraction_Basal,Fraction_Intermediate,Fraction_Top,Mean_Food_Chain,Modularity,MinLat,MaxLat,MinLon,MaxLon
Celtic_Sea_Europe,"Europe, Celtic Sea ecosystem",no,no,no,yes,Pinnegar et al. (2003),demersal food web,marine,50.83333333,-8,50.83333333,59,200,3.389830508,6.896551724,2.034482759,5,1.475,0.508474576,0.169491525,0.322033898,2.9915,0.233075,,,,
Celtic_Sea_Biscay,Celtic Sea-Biscay,no,no,yes,no,"Bentorcha A., Gascuel D., GuÃÂ©nette S., 2017, Aquatic Living Resources, 30: 7",France continental shelf,marine,48.033155,-7.9603756,48.033155,38,453,11.92105263,12.94285714,1.085714286,11.92105263,1,0.078947368,0.921052632,0,8.227,0.098198761,52.75236,43.31395,-15.4485,-0.4722512
Central_Atlantic,Central Atlantic,no,no,yes,no,"Vasconcellos M.,Watson R.(2004). Mass-balance models of oceanic systems in the Atlantic West African marine ecosystems: models and fisheries impacts. pp 171-214. In Palomares M.L.D.,Pauly D.",Not affiliated open ocean,marine,7.6683895,-34.1959225,7.6683895,38,233,6.131578947,6.472222222,1.055555556,6.131578947,1,0.052631579,0.947368421,0,7.052,0.300865801,25.07973,-9.742951,-77.12388,8.732035
Central_Baltic_Sea,Central Baltic Sea,no,no,yes,no,"Tomczak M.T.,Niiranen S.,Hjerne O.,Blenckner T.(2012). Ecosystem flow dynamics in the Baltic ProperÃ¢ÂÂUsing a multi-trophic dataset as a basis for foodÃ¢ÂÂweb modelling Ecological Modelling. pp 123-147",Not affiliated continental shelf,marine,56.84,21.02197,56.84,22,89,4.045454545,5.235294118,1.294117647,4.238095238,1.047619048,0.227272727,0.727272727,0.045454545,5.594,0.24132054,60.68,53,13,29.04394
Central_Chile,Central Chile,no,no,yes,no,"Neira S.,Arancibia H.,Cubillos L.(2004). Comparative analysis of trophic structure of commercial fishery species off Central Chile in 1992 and 1998 Ecological Modelling. pp 233-248",Chile upwelling,marine,-36.00785478,-72.78523194,36.00785478,21,60,2.857142857,3.157894737,1.105263158,4.615384615,1.615384615,0.095238095,0.523809524,0.380952381,3.8555,0.267083333,-33.04368,-38.99489,-74.27174,-71.14803
Central_Gulf_of_California,Central Gulf of California,no,no,yes,no,"Arreguain-Sanchez F.et al. (2002). Flows of biomass and structure in an exploited benthic ecosystem in the Gulf of California, Mexico Ecological Modelling. pp 167-183",Mexico channel/strait,marine,27.705745,-110.66875,27.705745,27,153,5.666666667,6.375,1.125,6.375,1.125,0.111111111,0.777777778,0.111111111,4.912,0.216649927,30.08076,25.33073,-113.0237,-108.3138
Cerb_re_Banyuls_MPA,Cerbare-Banyuls MPA,no,no,yes,no,"X. Corrales, D. Vilas, C. Piroddi, J. Steenbeek, J. Claudet, J. Lloret, A. CalÃÂ², A. Di Franco, T. Font, A. Ligas, G. Prato, R. Sahyoun, P. Sartor, P. Guidetti, M. Coll,
Multi-zone marine protected areas: Assessment of ecosystem and fisheries benefits using multiple ecosystem models,
Ocean & Coastal Management,
Volume 193,
2020,
105232,
ISSN 0964-5691,
https://doi.org/10.1016/j.ocecoaman.2020.105232.",France Beach,marine,42.47270693,3.18836967,42.47270693,64,665,10.390625,11.46551724,1.103448276,12.31481481,1.185185185,0.09375,0.75,0.15625,5.5615,0.197686227,42.52,42.4,3.12,3.2
Chantuto_Panzacola,Chantuto-Panzacola,no,no,yes,no,"Lapez-Vila, J.M., Schmitter-Soto, J.J., Velazquez-Velazquez, E. et al. Hydrobiologia (2018). https://doi.org/10.1007/s10750-018-3770-1",Mexico Coastal lagoon,marine,15.17,-92.85,15.17,34,210,6.176470588,6.5625,1.0625,6.176470588,1,0.058823529,0.941176471,0,6.4205,0.189580251,15.27,15.07,-93,-92.7
Chesapeake,Chesapeake Bay,yes,no,no,no,Baird & Ulanowicz 1989,Maryland estuary,marine,37.5214,-76.105,37.5214,519,15674,30.20038536,42.24797844,1.398921833,33.13742072,1.097251586,0.285163776,0.626204239,0.088631985,5.967,0.329067356,,,,
ChileC,Chilean Intertidal Curaumilla,yes,no,no,no,KÃ©fi et al. 2015,Intertidal study sites in Chile : Curaumilla,marine,-33.029307,-71.655639,33.029307,104,1338,12.86538462,24.32727273,1.890909091,13.9375,1.083333333,0.471153846,0.451923077,0.076923077,5.58406311,0.189707362,,,,
