Location,Latitude,Longitude,state,country,Quality check,revised Lat,revised Long,CoordinateCleaner location,CC location rationale
East Coast,36.47257,-76.130773,North Carolina,United States,,,,,
Maine,45.253783,-69.445469,Maine,United States,,,,,
New Hampshire/Vermont/Massachusetts/Connecticut/Rhode Is.,43.2509279,-71.927302,New Hampshire,United States,,,,,
District of Columbia/Delaware/New Jersey/Maryland,39.0457549,-76.641271,Maryland,United States,,,,,
Pennsylvania,41.2033216,-77.194525,Pennsylvania,United States,,,,,
West Virginia,38.5976262,-80.454903,West Virginia,United States,,,,,
North Carolina,35.7595731,-79.0193,North Carolina,United States,,,,,
Central,36.19234,-95.94764,Oklahoma,United States,,,,,
Iowa,41.8780025,-93.097702,Iowa,United States,,,,,
Wisconsin,43.7844397,-88.787868,Wisconsin,United States,,,,,
Indiana,40.2671941,-86.134902,Indiana,United States,,,,,
Louisiana,30.9842977,-91.962333,Louisiana,United States,,,,,
Mississippi,32.3546679,-89.398528,Mississippi,United States,,,,,
Arkansas,35.20105,-91.831833,Arkansas,United States,,,,,
Tennessee,35.5174913,-86.580447,Tennessee,United States,,,,,
Florida,27.6648274,-81.515754,Florida,United States,,,,,
Idaho,44.0682019,-114.74204,Idaho,United States,,,,,
Montana,46.8796822,-110.36257,Montana,United States,,,,,
North Dakota,47.5514926,-101.00201,North Dakota,United States,,,,,
South Dakota,43.9695148,-99.901813,South Dakota,United States,,,,,
Nebraska,41.4925374,-99.901813,Nebraska,United States,,,,,
Washington,47.7510741,-120.74014,Washington,United States,,,,,
South West,36.1908813,-95.889745,Oklahoma,United States,,,,,
California,36.778261,-119.41793,California,United States,,,,,
Nevada,38.8026097,-116.41939,Nevada,United States,,,,,
Utah,39.3209801,-111.09373,Utah,United States,,,,,
Arizona,34.0489281,-111.09373,Arizona,United States,,,,,
Colorado,39.5500507,-105.78207,Colorado,United States,,,,,
Kansas,39.011902,-98.484247,Kansas,United States,,,,,
Oklahoma,35.0077519,-97.092877,Oklahoma,United States,,,,,
Mexico,23.634501,-102.55278,Zacatecas,México,,,,,
Neotropical,28.9337826,-95.308453,Texas,United States,,,,,
Bahamas,25.03428,-77.39628,NA,The Bahamas,,,,,
Cuba,21.521757,-77.781167,NA,Cuba,,,,,
Dominican Republic,18.735693,-70.162651,Monte Plata,República Dominicana,,,,,
Haiti,18.971187,-72.285215,Département de l'Artibonite,Ayiti,,,,,
Jamaica,18.109581,-77.297508,NA,Jamaica,,,,,
