parasiteScientificName,Location,Latitude,Longitude
Acanthocephalus lucii,Belgium + Luxembourg,50.0546886,5.467698299999999
Acanthocephalus anguillae,Belgium + Luxembourg,50.0546886,5.467698299999999
Corynosoma strumosum,Byelorussia,53.709807,27.953389
Echinorhynchus gadi,Sea of Okhotsk,52.87362299999999,149.3658173
Echinorhynchus leidyi,Sea of Okhotsk,52.87362299999999,149.3658173
Corynosoma strumosum,Sea of Japan,38.848848,135
Acanthocephalus clavula,Eire + N. Ireland,54.7877149,-6.4923145
Pomphorhynchus laevis,Northeast Atlantic,39.370134,-77.40677199999999
Acanthocephalus clavula,Northeast Atlantic,39.370134,-77.40677199999999
Acanthocephalus lucii,Northeast Atlantic,39.370134,-77.40677199999999
Echinorhynchus truttae,Northeast Atlantic,39.370134,-77.40677199999999
Bolbosoma vasculosum,Ligurian Sea,43.7542275,8.8362755
Fessisentis necturorum,West Virginia,38.5976262,-80.4549026
Acanthocephalus dirus,Mexico,23.634501,-102.552784
Corynosoma strumosum,United States,37.09024,-95.712891
Southwellina hispida,United States,37.09024,-95.712891
Leptorhynchoides thecatus,United States,37.09024,-95.712891
Moniliformis moniliformis,Germany,51.165691,10.451526
Pomphorhynchus laevis,Scotland,56.49067119999999,-4.2026458
Acanthocephalus lucii,Egypt,26.820553,30.802498
Acanthocephalus anguillae,Norway,60.47202399999999,8.468945999999999
Echinorhynchus truttae,Norway,60.47202399999999,8.468945999999999
Polymorphus minutus,Scotland,56.49067119999999,-4.2026458
Acanthocephalus dirus,Lake Michigan,43.4501005,-87.22201869999999
Acanthocephalus dirus,Lake Huron,45.0521793,-82.48509399999999
Echinorhynchus leidyi,Lake Michigan,43.4501005,-87.22201869999999
Echinorhynchus leidyi,Lake Huron,45.0521793,-82.48509399999999
Echinorhynchus salmonis,Lake Michigan,43.4501005,-87.22201869999999
Echinorhynchus salmonis,Lake Huron,45.0521793,-82.48509399999999
Echinorhynchus salmonis,Lake Ontario,43.6333482,-77.82706689999999
Fessisentis necturorum,Louisiana,30.9842977,-91.96233269999999
Pomphorhynchus bulbocolli,New Hampshire/Vermont/Massachusetts/Connecticut/Rhode Is.,43.2509279,-71.9273024
Leptorhynchoides thecatus,Tennessee,35.5174913,-86.5804473
Leptorhynchoides thecatus,Indiana,40.2671941,-86.1349019
Polymorphus minutus,Egypt,26.820553,30.802498
Pomphorhynchus laevis,Europe,54.5259614,15.2551187
Acanthocephalus anguillae,Europe,54.5259614,15.2551187
Acanthocephalus lucii,Europe,54.5259614,15.2551187
Neoechinorhynchus rutili,Europe,54.5259614,15.2551187
Moniliformis moniliformis,Japan,36.204824,138.252924
Corynosoma semerme,European USSR (CIS),54.5259614,15.2551187
Corynosoma strumosum,European USSR (CIS),54.5259614,15.2551187
Echinorhynchus truttae,Lake Baikal,53.5587003,108.1649965
Echinorhynchus salmonis,Lake Baikal,53.5587003,108.1649965
Echinorhynchus gadi,European USSR (CIS),54.5259614,15.2551187
Pomphorhynchus bulbocolli,Nebraska,41.4925374,-99.9018131
Southwellina hispida,Hawaiian Islands,19.8967662,-155.5827818
Acanthocephalus dirus,United States,37.09024,-95.712891
Tegorhynchus furcatus,Gulf of Mexico,25.304304,-90.065918
Tegorhynchus furcatus,Caribbean Sea,14.5401107,-74.9676365
Atactorhynchus verecundus,Gulf of Mexico,25.304304,-90.065918
Polymorphus trochus,Nearctic,53.569001,-113.571487
Southwellina hispida,Gulf of Mexico,25.304304,-90.065918
Caballerorhynchus lamothei,Gulf of Mexico,25.304304,-90.065918
Echinorhynchus salmonis,United States,37.09024,-95.712891
Mediorhynchus grandis,District of Columbia/Delaware/New Jersey/Maryland,39.0457549,-76.64127119999999
Moniliformis moniliformis,Costa Rica,9.748916999999999,-83.753428
Moniliformis moniliformis,Mexico,23.634501,-102.552784
Neoechinorhynchus emydis,Mexico,23.634501,-102.552784
Neoechinorhynchus emydis,United States,37.09024,-95.712891
Oligacanthorhynchus tortuosa,Mexico,23.634501,-102.552784
Prosthenorchis elegans,Mexico,23.634501,-102.552784
Southwellina hispida,Mexico,23.634501,-102.552784
Pomphorhynchus bulbocolli,Mexico,23.634501,-102.552784
Neoechinorhynchus emydis,Wisconsin,43.7844397,-88.7878678
Moniliformis moniliformis,Egypt,26.820553,30.802498
Neoechinorhynchus saginatus,Quebec,52.9399159,-73.5491361
Bolbosoma vasculosum,Caribbean Sea,14.5401107,-74.9676365
Neoechinorhynchus rutili,Eire + N. Ireland,54.7877149,-6.4923145
Moniliformis moniliformis,Puerto Rico,18.220833,-66.590149
Macracanthorhynchus catulinus,Spain + Andalusia,37.5442706,-4.7277528
Bolbosoma vasculosum,Western Mediterranean,34.5531284,18.0480105
Centrorhynchus aluconis,Balearic Islands,39.3587759,2.7356328
Echinorhynchus truttae,Spain + Andalusia,37.5442706,-4.7277528
Moniliformis moniliformis,Spain + Andalusia,37.5442706,-4.7277528
