Parasite.species,Location,Latitude,Longitude,Chain.length,Host.habitat,parasiteKingdom,parasitePhylum,parasiteClass,parasiteOrder,parasiteFamily,parasiteGenus
Fessisentis friedi,New Brunswick,46.5653163,-66.46191639999999,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Fessisentidae,Fessisentis
Echinorhynchus gadi,New Brunswick,46.5653163,-66.46191639999999,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Corynosoma strumosum,British Columbia,53.7266683,-127.6476205,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Leptorhynchoides thecatus,Ontario,51.253775,-85.323214,4,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Rhadinorhynchidae,Leptorhynchoides
Pomphorhynchus bulbocolli,Ontario,51.253775,-85.323214,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Acanthocephalus dirus,Ontario,51.253775,-85.323214,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Echinorhynchus salmonis,Alberta,53.9332706,-116.5765035,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus salmonis,Manitoba,53.7608608,-98.8138762,3,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Pomphorhynchus bulbocolli,Alberta,53.9332706,-116.5765035,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
Echinorhynchus leidyi,Arctic Ocean,65.2481624,-60.4620977,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Echinorhynchus leidyi,Ontario,51.253775,-85.323214,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Neoechinorhynchus cylindratus,Manitoba,53.7608608,-98.8138762,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Neoechinorhynchus rutili,British Columbia,53.7266683,-127.6476205,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Pomphorhynchus bulbocolli,British Columbia,53.7266683,-127.6476205,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Pomphorhynchidae,Pomphorhynchus
